date,outlet,transaction_count,total_revenue,avg_transaction_value,total_items,avg_basket_size,zero_value_transactions,day_name,day_of_week,is_weekend,month,tx_lag_1,rev_lag_1_x,tx_roll_mean_7,tx_roll_std_7,tx_diff_from_roll7,tx_zscore_roll7,tx_pct_change_1d,paid_revenue,rev_lag_1_y,rev_roll_mean_7,rev_roll_std_7,rev_diff_from_roll7,rev_zscore_roll7,rev_pct_change_1d
2025-03-17,SHOP001,81,2052000,25333.33333333333,95,1.1728395061728396,3,Monday,0,0,3,82.0,2077000.0,94.42857142857143,6.7788185513688095,-13.42857142857143,-1.980960154907778,-0.012195121802498515,2052000,2077000.0,2280142.8571428573,160800.52712541248,-228142.85714285728,-1.4187942118094177,-0.012036591237355784
2025-03-18,SHOP001,101,2554000,25287.128712871287,120,1.188118811881188,2,Tuesday,1,0,3,81.0,2052000.0,91.0,6.608075867199737,10.0,1.5132995879083404,0.24691357719859783,2554000,2052000.0,2218571.4285714286,152480.44371094537,335428.57142857136,2.199813715536124,0.24463937621820436
2025-03-19,SHOP001,88,2352000,26727.272727272728,105,1.193181818181818,3,Wednesday,2,0,3,101.0,2554000.0,92.14285714285714,7.6251463686186405,-4.142857142857139,-0.5433150262652107,-0.12871287001274387,2352000,2554000.0,2256000.0,198668.90379053878,96000.0,0.4832160351613547,-0.07909162098665659
2025-03-20,SHOP001,94,2402000,25553.191489361703,114,1.2127659574468086,2,Thursday,3,0,3,88.0,2352000.0,90.85714285714286,7.42582366763836,3.142857142857139,0.42323341629026956,0.06818181740702481,2402000,2352000.0,2256571.4285714286,198983.12922026013,145428.57142857136,0.7308588019382359,0.02125850340135151
2025-03-21,SHOP001,92,2253000,24489.130434782608,102,1.108695652173913,1,Friday,4,0,3,94.0,2402000.0,90.71428571428571,7.3419862370316915,1.2857142857142918,0.17511802243803629,-0.02127659551833409,2253000,2402000.0,2275571.4285714286,206572.71289859834,-22571.428571428638,-0.10926626394454698,-0.06203164029972439
2025-03-22,SHOP001,76,1695000,22302.63157894737,82,1.0789473684210529,3,Saturday,5,1,3,92.0,2253000.0,90.28571428571429,7.134757312254059,-14.285714285714292,-2.0022702466568987,-0.17391304158790172,1695000,2253000.0,2250714.285714286,195485.47625993204,-555714.2857142859,-2.842739503432593,-0.24766977363504322
2025-03-23,SHOP001,85,2115000,24882.352941176472,98,1.152941176470588,2,Sunday,6,1,3,76.0,1695000.0,87.71428571428571,8.654753717163926,-2.714285714285708,-0.3136178670555267,0.11842105107340722,2115000,1695000.0,2197857.1428571427,284036.04734342656,-82857.14285714272,-0.2917134766231585,0.24778761061932283
2025-03-24,SHOP001,97,2515000,25927.835051546397,113,1.1649484536082475,2,Monday,0,0,3,85.0,2115000.0,88.14285714285714,8.395009855633962,8.857142857142861,1.0550484102350814,0.14117646892733565,2515000,2115000.0,2203285.714285714,281694.70133800147,311714.2857142859,1.106567799225864,0.18912529550818483
2025-03-25,SHOP001,96,2357000,24552.08333333333,114,1.1875,0,Tuesday,1,0,3,97.0,2515000.0,90.42857142857143,8.30375703837617,5.571428571428569,0.6709526633218328,-0.010309278244234246,2357000,2515000.0,2269428.5714285714,294325.70232247823,87571.42857142864,0.2975323863329591,-0.06282306163019372
2025-03-26,SHOP001,74,1870000,25270.27027027027,84,1.135135135135135,1,Wednesday,2,0,3,96.0,2357000.0,89.71428571428571,7.409774753982927,-15.714285714285708,-2.120750510680288,-0.22916666427951393,1870000,2357000.0,2241285.714285714,271080.9929926955,-371285.7142857141,-1.3696486433276016,-0.20661858294433325
2025-03-27,SHOP001,102,2545000,24950.980392156864,115,1.1274509803921569,3,Thursday,3,0,3,74.0,1870000.0,87.71428571428571,9.534398874851146,14.285714285714292,1.4983338724229172,0.3783783732651571,2545000,1870000.0,2172428.5714285714,298137.47228577867,372571.42857142864,1.2496632030644301,0.3609625668447268
2025-03-28,SHOP001,96,2370000,24687.5,109,1.1354166666666667,1,Friday,4,0,3,102.0,2545000.0,88.85714285714286,10.807845474909636,7.142857142857139,0.6608955039691995,-0.05882352883506344,2370000,2545000.0,2192857.1428571427,320546.63133020746,177142.85714285728,0.5526274177557117,-0.06876227897836198
2025-03-29,SHOP001,99,2358000,23818.18181818182,113,1.1414141414141414,4,Saturday,5,1,3,96.0,2370000.0,89.42857142857143,11.103410029613206,9.57142857142857,0.862025961742857,0.03124999967447917,2358000,2370000.0,2209571.4285714286,327186.92778637534,148428.57142857136,0.45365067740429005,-0.00506329113923837
2025-03-30,SHOP001,98,2398000,24469.38775510204,114,1.163265306122449,1,Sunday,6,1,3,99.0,2358000.0,92.71428571428571,9.793097666456857,5.285714285714292,0.539738694129451,-0.010101009998979697,2398000,2358000.0,2304285.714285714,236910.47133584577,93714.28571428591,0.39556835620423203,0.0169635284139029
2025-03-31,SHOP001,100,2467000,24670.0,114,1.14,1,Monday,0,0,3,98.0,2398000.0,94.57142857142857,9.306935457982311,5.428571428571431,0.583282313474429,0.020408163057059562,2467000,2398000.0,2344714.285714286,222961.66657501002,122285.71428571409,0.5484607114919711,0.028773978315250723
2025-04-01,SHOP001,85,2090000,24588.235294117647,101,1.188235294117647,1,Tuesday,1,0,4,100.0,2467000.0,95.0,9.504384952922209,-10.0,-1.052145825046742,-0.1499999985,2090000,2467000.0,2337857.1428571427,217523.50721353627,-247857.14285714272,-1.139449919831834,-0.15281718686657772
2025-04-02,SHOP001,100,2525000,25250.0,115,1.15,0,Wednesday,2,0,4,85.0,2090000.0,93.42857142857143,10.195704043977628,6.571428571428569,0.6445290976037173,0.17647058615916958,2525000,2090000.0,2299714.285714286,236213.6845356465,225285.7142857141,0.9537369298803812,0.20813397129176645
2025-04-03,SHOP001,95,2427000,25547.36842105263,113,1.1894736842105262,5,Thursday,3,0,4,100.0,2525000.0,97.14285714285714,5.669467095138477,-2.142857142857139,-0.37796440634256706,-0.0499999995,2427000,2525000.0,2393285.714285714,152529.4663179522,33714.285714285914,0.22103457468202536,-0.03881188118810344
2025-04-04,SHOP001,101,2337000,23138.61386138614,111,1.099009900990099,1,Friday,4,0,4,95.0,2427000.0,96.14285714285714,5.273473599964696,4.857142857142861,0.921051721226718,0.06315789407202217,2337000,2427000.0,2376428.5714285714,138877.47254667906,-39428.57142857136,-0.2839090509444204,-0.037082818294175084
2025-04-05,SHOP001,101,2482000,24574.257425742573,116,1.1485148514851484,3,Saturday,5,1,4,101.0,2337000.0,96.85714285714286,5.580578567035672,4.142857142857139,0.742370410293741,0.0,2482000,2337000.0,2371714.285714286,139689.79238025701,110285.71428571409,0.7895044613189056,0.06204535729565168
2025-04-06,SHOP001,98,2379000,24275.51020408163,110,1.1224489795918366,3,Sunday,6,1,4,101.0,2482000.0,97.14285714285714,5.7569833370314605,0.8571428571428612,0.1488874742335741,-0.029702970002940893,2379000,2482000.0,2389428.5714285714,145406.163490251,-10428.571428571362,-0.07172028460264576,-0.04149879129732414
2025-04-07,SHOP001,83,2027000,24421.68674698795,95,1.144578313253012,2,Monday,0,0,4,98.0,2379000.0,97.14285714285714,5.7569833370314605,-14.142857142857139,-2.4566433248539603,-0.15306122292794672,2027000,2379000.0,2386714.285714286,145396.8297289845,-359714.2857142859,-2.4740173935175127,-0.14796132828913497
2025-04-08,SHOP001,98,2321000,23683.673469387755,111,1.1326530612244898,4,Tuesday,1,0,4,83.0,2027000.0,94.71428571428571,7.631388814501338,3.285714285714292,0.4305525422735848,0.18072288938888087,2321000,2027000.0,2323857.1428571427,192411.3896242738,-2857.142857142724,-0.014849135816268903,0.14504193389238035
2025-04-09,SHOP001,103,2663000,25854.36893203884,119,1.1553398058252426,1,Wednesday,2,0,4,98.0,2321000.0,96.57142857142857,6.347102826149508,6.428571428571431,1.0128353977898208,0.0510204076426489,2663000,2321000.0,2356857.1428571427,163211.95684490787,306142.8571428573,1.8757379242250842,0.1473502800516384
2025-04-10,SHOP001,113,3146000,27840.70796460177,139,1.2300884955752212,2,Thursday,3,0,4,103.0,2663000.0,97.0,6.708203932499426,16.0,2.385138820444253,0.09708737769818081,3146000,2663000.0,2376571.4285714286,192596.17263665158,769428.5714285714,3.995035627609102,0.1813743897858876
2025-04-11,SHOP001,105,2709000,25800.0,129,1.2285714285714286,5,Friday,4,0,4,113.0,3146000.0,99.57142857142857,8.90425259556999,5.428571428571431,0.6096604696065971,-0.07079645955047381,2709000,3146000.0,2479285.714285714,350757.6154011567,229714.2857142859,0.6549089046888117,-0.13890654799741295
2025-04-12,SHOP001,97,2482000,25587.628865979383,112,1.154639175257732,2,Saturday,5,1,4,105.0,2709000.0,100.14285714285714,9.136530549185014,-3.142857142857139,-0.3439879921541435,-0.07619047546485262,2482000,2709000.0,2532428.5714285714,353774.81403799786,-50428.57142857136,-0.14254426665605552,-0.08379475821333195
2025-04-13,SHOP001,91,2247000,24692.30769230769,105,1.1538461538461535,5,Sunday,6,1,4,97.0,2482000.0,99.57142857142857,9.198861213163736,-8.57142857142857,-0.9317922556946991,-0.06185566946540547,2247000,2482000.0,2532428.5714285714,353774.81403799786,-285428.57142857136,-0.8068086254356919,-0.09468170829972013
2025-04-14,SHOP001,99,2462000,24868.68686868687,113,1.1414141414141414,4,Monday,0,0,4,91.0,2247000.0,98.57142857142857,9.761440174775183,0.4285714285714306,0.04390452402447645,0.08791208694602103,2462000,2247000.0,2513571.4285714286,366601.44441562146,-51571.42857142864,-0.14067437364709529,0.09568313306626806
2025-04-15,SHOP001,86,2168000,25209.3023255814,101,1.1744186046511629,4,Tuesday,1,0,4,99.0,2462000.0,100.85714285714286,6.986381310057753,-14.857142857142861,-2.1265860065737003,-0.13131312998673605,2168000,2462000.0,2575714.285714286,301456.30655520473,-407714.2857142859,-1.352482190112251,-0.11941510966688895
2025-04-16,SHOP001,93,2412000,25935.483870967742,111,1.1935483870967742,2,Wednesday,2,0,4,86.0,2168000.0,99.14285714285714,8.98941176104001,-6.142857142857139,-0.6833435404679822,0.08139534789075177,2412000,2168000.0,2553857.1428571427,327430.10886367346,-141857.14285714272,-0.43324403900733555,0.11254612546120271
2025-04-17,SHOP001,90,2337000,25966.666666666668,109,1.211111111111111,2,Thursday,3,0,4,93.0,2412000.0,97.71428571428571,9.06852221908818,-7.714285714285708,-0.8506661479399469,-0.03225806416926813,2337000,2412000.0,2518000.0,327229.2774187557,-181000.0,-0.5531289908629445,-0.03109452736317119
